X,Y,LAT,LON,NAME,AUX1,ESPECIE,icon_url
-7.03037999994342,38.0524400009625,"+4213464.639","+672812.4174","003",24-JUL-13 12:19:51,VV,./0.png
-7.03268999994364,38.063530000964,"+4214690.992","+672583.6620","004",24-JUL-13 12:19:51,NI,./0.png
-7.03292999994367,38.0635200009641,"+4214689.436","+672562.6293","005",24-JUL-13 12:19:51,HI,./0.png
-7.0331399999437,38.0635600009641,"+4214693.485","+672544.1111","006",24-JUL-13 12:19:51,VV,./0.png
-7.03385999994379,38.0622300009639,"+4214544.559","+672484.0664","007",24-JUL-13 12:19:51,VV,./0.png
-7.03381999994378,38.0621700009639,"+4214537.975","+672487.7167","008",24-JUL-13 12:19:51,VV,./0.png
-7.05162999994582,38.061620000964,"+4214444.020","+670926.4265","009",24-JUL-13 12:19:52,LL,./0.png
-7.05382999994618,38.0339200009602,"+4211366.146","+670797.7812","010",24-JUL-13 12:19:52,HI,./0.png
-7.05003999994575,38.0362900009605,"+4211636.113","+671124.9095","011",24-JUL-13 12:19:52,NI,./0.png
-7.0641999999473,38.0380200009609,"+4211802.111","+669878.1405","013",24-JUL-13 12:19:52,VV,./0.png
-7.06441999994732,38.0380300009609,"+4211802.819","+669858.8093","014",24-JUL-13 12:19:52,VV,./0.png
-7.06584999994748,38.0377500009609,"+4211769.135","+669733.9532","017",24-JUL-13 12:19:52,VV,./0.png
-7.0584299999466,38.0543100009631,"+4213620.349","+670346.7733","018",24-JUL-13 12:19:52,VV,./0.png
-7.06772999994768,38.0371800009608,"+4211702.452","+669570.2709",L1,24-JUL-13 12:19:52,NI,./0.png
-7.06823999994774,38.0370900009608,"+4211691.534","+669525.7183",L2,24-JUL-13 12:19:52,Felis sp.,./0.png
-7.06854999994777,38.0370400009608,"+4211685.420","+669498.6263",L4,24-JUL-13 12:19:52,VV,./0.png
